d_codigo|d_asenta|d_tipo_asenta|D_mnpio|d_estado|d_ciudad|d_CP|c_estado|c_oficina|c_CP|c_tipo_asenta|c_mnpio|id_asenta_cpcons|d_zona|c_cve_ciudad
23020|Ladrillera|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0025|Urbano|02
23020|Guerrero|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0026|Urbano|02
23020|Manuel Rivera Anaya|Unidad habitacional|La Paz|Baja California Sur|La Paz|23004|03|23004||31|003|0436|Urbano|02
23026|Antonio Navarro Rubio|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0027|Urbano|02
23026|Ampliación Antonio Navarro Rubio|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0193|Urbano|02
23029|Zona Militar|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0028|Urbano|02
23030|Francisco Villa|Colonia|La Paz|Baja California Sur|La Paz|23004|03|23004||09|003|0029|Urbano|02
99917|Gabriel Lopez|Ranchería|Nochistlán de Mejía|Zacatecas||99901|32|99901||29|034|0724|Rural|
99918|Tlachichila|Ranchería|Nochistlán de Mejía|Zacatecas||99901|32|99901||29|034|0730|Rural|
99918|Casas Grandes|Ranchería|Nochistlán de Mejía|Zacatecas||99901|32|99901||29|034|1660|Rural|
99918|Fátima|Barrio|Nochistlán de Mejía|Zacatecas||99901|32|99901||02|034|1665|Rural|
99919|La Estancia|Ranchería|Nochistlán de Mejía|Zacatecas||99901|32|99901||29|034|0731|Rural|
99920|San Pedro Apulco|Pueblo|Apulco|Zacatecas||99922|32|99922||28|002|0732|Rural|
99921|Agua Blanca|Ranchería|Apulco|Zacatecas||99922|32|99922||29|002|0733|Rural|
99930|Tenayuca|Pueblo|Apulco|Zacatecas||99922|32|99922||28|002|0735|Rural|
99940|Apozol|Pueblo|Apozol|Zacatecas||99961|32|99961||28|001|0736|Urbano|
99940|De Abajo|Barrio|Apozol|Zacatecas||99961|32|99961||02|001|1653|Urbano|
99949|San Miguel (Atotonilco)|Ranchería|Apozol|Zacatecas||99961|32|99961||29|001|0001|Rural|
99949|Los Llamas (San Isidro)|Ranchería|Apozol|Zacatecas||99961|32|99961||29|001|0738|Rural|
99950|Benito Juárez (El Rescoldo)|Pueblo|Apozol|Zacatecas||99961|32|99961||28|001|0739|Rural|
99960|San José (San José de los Meléndez)|Ranchería|Juchipila|Zacatecas||99961|32|99961||29|023|0002|Rural|
99960|Contitlan|Ranchería|Juchipila|Zacatecas||99961|32|99961||29|023|0740|Rural|
